location,total_cases
Chad,7257.0
Anguilla,2555.0
Afghanistan,174339.0
Cambodia,132072.0
Africa,1.1254551E7
British Virgin Islands,6091.0
Algeria,265227.0
Argentina,8934328.0
Angola,98796.0
Belgium,3586292.0
Bonaire Sint Eustatius and Saba,7616.0
Albania,272030.0
Benin,26784.0
Bahamas,33217.0
China,110327.0
Belarus,929340.0
Chile,3168335.0
Cayman Islands,19373.0
Burundi,38150.0
Andorra,38434.0
Bolivia,894551.0
Central African Republic,14320.0
Bangladesh,1946737.0
Barbados,56013.0
Bhutan,14451.0
Cape Verde,55892.0
Aruba,33732.0
Azerbaijan,788958.0
Armenia,421226.0
Brunei,84862.0
Canada,3334009.0
Belize,56876.0
Brazil,2.8935718E7
Antigua and Barbuda,7457.0
Botswana,263950.0
Asia,1.19995444E8
Bosnia and Herzegovina,372139.0
Australia,3391465.0
Cameroon,119322.0
Bulgaria,1100811.0
Austria,2839297.0
Burkina Faso,20751.0
Bermuda,11634.0
Bahrain,525171.0
Eritrea,9715.0
Djibouti,15550.0
Comoros,8047.0
Dominica,11282.0
Equatorial Guinea,15889.0
Ecuador,847689.0
Curacao,39133.0
Croatia,1062953.0
Cuba,1072474.0
Czechia,3628247.0
Denmark,2855237.0
Congo,24020.0
Cyprus,331508.0
Cote d'Ivoire,85564.0
Estonia,80929.0
Cook Islands,2.0
Dominican Republic,575883.0
Costa Rica,814583.0
Egypt,489876.0
El Salvador,156456.0
Colombia,6070616.0
Democratic Republic of Congo,86154.0
